X	Y	Z	Name	field_5
122.6114993	-5.456801618	0	TITK TIANG CCTV DAN WI-FI 1	
122.6112717	-5.455942836	0	TITK TIANG CCTV DAN WI-FI 2	
122.6101186	-5.456024621	0	TITK TIANG CCTV DAN WI-FI 3	
122.6081002	-5.454790124	0	TITK TIANG CCTV DAN WI-FI  4	
122.6070331	-5.454889202	0	TITK TIANG CCTV DAN WI-FI 5	
122.6063331	-5.454660234	0	TITK TIANG CCTV DAN WI-FI 6	
122.6028921	-5.456020051	0	TITK TIANG CCTV DAN WI-FI 7	
122.6014833	-5.454899974	0	TITK TIANG CCTV DAN WI-FI 8	
122.6000528	-5.455138863	0	TITK TIANG CCTV DAN WI-FI 9	
122.5974031	-5.454633783	0	TITK TIANG CCTV DAN WI-FI 10	
122.6018776	-5.473271952	0	TITK TIANG CCTV DAN WI-FI 11	
122.603279	-5.471856929	0	TITK TIANG CCTV DAN WI-FI 12	
122.6045278	-5.471002752	0	TITK TIANG CCTV DAN WI-FI 13	
122.5957059	-5.470699261	0	TITK TIANG CCTV DAN WI-FI 14	
122.594716	-5.469614003	0	TITK TIANG CCTV DAN WI-FI 15	
122.6405528	-5.451722196	0	TITK TIANG CCTV DAN WI-FI 16	
122.6415917	-5.450297196	0	TITK TIANG CCTV DAN WI-FI 17	
122.6426639	-5.44886664	0	TITK TIANG CCTV DAN WI-FI 18	
122.602075	-5.461908307	0	TITK TIANG CCTV 19	
122.601825	-5.462199974	0	TITK TIANG CCTV  20	
122.609225	-5.460605529	0	TITIK TIANG CCTV DAN WI-FI 21	
122.6090389	-5.460163863	0	TITIK TIANG CCTV DAN WI-FI 22	
122.6124363	-5.457427886	0	KANTOR DISKOMINFO	
122.6121425	-5.456985197	0	JALUR 1	
122.611695	-5.45632594	0	JALUR 2 DISTRIBUSI	
122.6084061	-5.45568622	0	JALUR 3	
122.606104	-5.4549518	0	JALUR 4 DISTRIBUSI	
122.6048341	-5.456211259	0	JALUR 5	
122.6017332	-5.45552664	0	JALUR 6 DISTRIBUSI	
122.6011819	-5.46596877	0	JALUR 7	
122.6026515	-5.47253307	0	JALUR 8 DISTRIBUSI	
122.5980975	-5.469574299	0	JALUR 9	
122.5952259	-5.470144642	0	JALUR 10 DISTRUBUSI	
122.636228	-5.456364839	0	JALUR 11	
122.6120819	-5.457792662	0	JALUR 21	
122.6421356	-5.449551409	0	JALUR 12 DISTRIBUSI	
122.6090591	-5.460385493	0	JALUR 14  DISTRIBUSI	
122.6087458	-5.458598447	0	JALUR 13	
122.6485111	-5.335963863	0	TITIK TIANG 23 CCTV DAN WIFI	
122.6493	-5.335236085	0	TITIK TIANG CCTV DAN WIFI 24	
122.64955	-5.33489164	0	TITIK TIANG 25 CCTV DAN WIFI	
122.6639634	-5.327533296	0	kantor kelurahan palabusa	
122.6523816	-5.329789811	0	JALUR 15	
122.649235	-5.335577363	0	JALUR 16 DISTRIBUSI	
122.567575	-5.523280529	0	TITIK TIANG 26 CCTV DAN WIFI	
122.5683528	-5.524088863	0	TITIK TIANG 27 CCTV DAN WIFI	
122.5691944	-5.525005529	0	TITIK TIANG 28 CCTV DAN WIFI	
122.5688889	-5.523808307	0	TITIK TIANG 29 CCTV DAN WIFI	
122.5628895	-5.517837913	0	SDN 2 Topa	
122.5665647	-5.520783841	0	JALUR 17	
122.5684812	-5.524153554	0	JALUR 18 DISTRIBUSI	
122.6129833	-5.458158307	0	TITIK TIANG 30 CCTV	
122.6131806	-5.458308307	0	TITIK TIANG 31 CCTV	
122.6133769	-5.458471611	0	TITIK TIANG 32 CCTV	
122.6125784	-5.457666176	0	JALUR 19	
122.6132835	-5.45838441	0	JALUR 20 DISTRIBUSI	
122.6121111	-5.458338863	0	TITIK TIANG CCTV DAN WIFI 4	
122.6116806	-5.458077752	0	TITIK TIANG CCTV DAN WIFI 5	
