X	Y	Z	Name	field_5
122.5920368	-5.483488262	0	RUMAH SAKIT PALAGIMATA	
122.5925306	-5.458722222	0	KEC.BATUPORA	
122.6319167	-5.385383333	0	KEC. LEA LEA	
122.5977917	-5.467138889	0	KEC. MURHUM	
122.6534694	-5.431988889	0	KEC KOKALUKUNA	
122.66745	-5.389386111	0	KEC BUNGI	
122.6941111	-5.482419444	0	KEC. SORAWOLIO	
122.614	-5.462547222	0	KEC. WOLIO	
122.58595	-5.47185	0	KEC. BETOAMBARI	
122.5905583	-5.465372222	0	KEL. BONE-BONE	
122.5978083	-5.458208333	0	KEL.KAOBULA	
122.5991889	-5.458666667	0	KEL. LANTO	
122.6044278	-5.459958333	0	KEL. NGANGANAUMALA	
122.5932278	-5.461466667	0	KEL. TARAFU	
122.5942694	-5.458480556	0	KEL. WAMEO	
122.6283194	-5.390186111	0	KEL. KALIA-LIA	
122.644075	-5.391888889	0	KEL. KANTALAI	
122.6202722	-5.402911111	0	KEL. KOLESE	
122.6288194	-5.407775	0	KEL. LOWU-LOWU	
122.6640361	-5.327375	0	KEL. PALABUSA	
122.6010056	-5.477508333	0	KEL. BAADIA	
122.5989472	-5.468288889	0	KEL. LAMANGGA	
122.6027167	-5.472338889	0	KEL. MELAI	
122.5933639	-5.470033333	0	KEL. TANGANAPADA	
122.6016	-5.464786111	0	KEL. WAJO	
122.6214861	-5.463355556	0	KEL. KADOLO	
122.6243833	-5.459938889	0	KEL. KADOLOMOKO	
122.6518361	-5.419494444	0	KEL. LAKOLOGOU	
122.6301028	-5.425394444	0	KEL. LIWUTO	
122.6241583	-5.425411111	0	KEL. SUKANAEYO	
122.6501056	-5.430583333	0	KEL. WARURUMA	
122.6943611	-5.340769444	0	KEL. KAMPOENAHO	
122.6626528	-5.4086	0	KEL. LIABUKU	
122.6901528	-5.366658333	0	KEL. NGKARING KARING	
122.6779111	-5.341458333	0	KEL. TAMPUNA	
122.6736139	-5.397194444	0	KEL. WALIABUKU	
122.7040028	-5.486888889	0	KEL. BUGI	
122.7292028	-5.476669444	0	KEL. GONDA BARU	
122.6889833	-5.474486111	0	KEL. KAISABU BARU	
122.6993444	-5.486438889	0	KEL. KARYA BARU	
122.6073389	-5.463488889	0	KEL. BATARAGURU	
122.6134472	-5.458933333	0	KEL. BATULO	
122.6171944	-5.469913889	0	KEL. BUKIT WOLIO INDAH	
122.6371611	-5.467294444	0	KEL. KADOLO KATAPI	
122.60715	-5.458819444	0	KEL. TOMBA	
122.6047694	-5.454083333	0	KEL. WALE	
122.6149528	-5.463130556	0	KEL. WANGKANAPI	
122.5860722	-5.471980556	0	KEL. KATOBENGKE	
122.5990194	-5.51645	0	KEL. LABALAWA	
122.5882167	-5.479088889	0	KEL. LIPU	
122.5598361	-5.503386111	0	KEL. SULAA	
122.5951	-5.495597222	0	KEL. WABOROBO	
122.5905056	-5.465161111	0	SDN 1 BONE-BONE	
122.5994472	-5.459633333	0	SDN 1 KAOBULA	
122.59965	-5.457002778	0	SDN 1 NGANGANAUMALA	
122.5932167	-5.460275	0	SDN 1 WAMEO	
122.5903306	-5.466061111	0	SDN 2 BONE-BONE	
122.5982917	-5.458830556	0	SDN 2 KAOBULA	
122.5991167	-5.459833333	0	SDN 2 NGANGANAUMALA	
122.5968528	-5.458091667	0	SDN 2 WAMEO	
122.6038472	-5.460305556	0	SDN 3 NGANGANAUMALA	
122.5924194	-5.464119444	0	SDN 3 WAMEO	
122.628825	-5.389925	0	SDN KALIALIA	
122.6497583	-5.352786111	0	SDN KECIL KOLAGANA	
122.65595	-5.397672222	0	SDN KECIL WAMEMBE	
122.6498056	-5.353191667	0	SMPN 16 BAUBAU	
122.6944556	-5.342066667	0	SDN 2 WONCO	
122.6881556	-5.338863889	0	SDN WONCO	
122.681575	-5.341013889	0	SMPN 11 BAUBAU	
122.6624361	-5.404780556	0	SMPS DARUSSALAM	
122.6305389	-5.467213889	0	SMPS INTEGRAL HIDAYATULLAH	
122.66045	-5.403263889	0	SMAS DARUSSALAM	
122.6909222	-5.348277778	0	SMKN 6 BAUBAU	
122.7002917	-5.4917	0	SDN 2 BUGI	
122.7222778	-5.479275	0	SD GONDA	
122.6966722	-5.486694444	0	SMPN 10 BAUBAU	
122.7190806	-5.480925	0	SMPN 13 BAUBAU	
122.6735389	-5.480466667	0	SMPN 19 BAUBAU	
122.731775	-5.478722222	0	SMKN 5 BAUBAU	
122.5675	-5.498697222	0	SMPN 14 BAUBAU	
122.5775222	-5.483997222	0	BKPSDM	
122.6083722	-5.456941667	0	KESBANGPOL	
122.6141111	-5.473163889	0	BPBD	
122.5836222	-5.486661111	0	BAPPEDA	
122.6121611	-5.456244444	0	BADAN PENELITIAN DAN PENGEMBANGAN	
122.5830389	-5.487108333	0	BPKAPD	
122.6016111	-5.462758333	0	BPS KOTA BAUBAU	
122.5943472	-5.468938889	0	Dinas Kelautan dan Perikanan	
122.6107417	-5.473108333	0	DINKES	
122.6122822	-5.457444965	0	DISKOMINFO	
122.6083056	-5.457319444	0	Dinas Koperasi dan UMKM	
122.6180028	-5.464236111	0	Dinas Lingkungan Hidup	
122.6169944	-5.460672222	0	Dinas Parawisata	
122.5816167	-5.480497222	0	Dinas Pekerjaan Umum dan Penataan Ruang	
122.6104778	-5.460308333	0	Dinas Pemadam Kebakaran dan Penyelamat	
122.6123806	-5.456725	0	Dinas Pemberdayaan Perempuan dan Perlindungan Anak	
122.6106083	-5.457138889	0	DISPORA	
